"V1","V2","V3","V4","V5","V6","V7","V8","y1","y2"
0.64,784,343,220.5,3.5,4,0.1,3,6,9
0.64,784,343,220.5,3.5,5,0.1,3,6,9
0.62,808.5,367.5,220.5,3.5,2,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,3,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,3,4,4
0.98,514.5,294,110.25,7,2,0.1,4,14,16
0.98,514.5,294,110.25,7,3,0.1,4,14,16
0.98,514.5,294,110.25,7,4,0.1,4,14,16
0.98,514.5,294,110.25,7,5,0.1,4,14,16
0.9,563.5,318.5,122.5,7,2,0.1,4,19,19
0.9,563.5,318.5,122.5,7,3,0.1,4,18,24
0.9,563.5,318.5,122.5,7,4,0.1,4,19,23
0.9,563.5,318.5,122.5,7,5,0.1,4,20,20
0.86,588,294,147,7,2,0.1,4,16,17
0.86,588,294,147,7,3,0.1,4,15,22
0.86,588,294,147,7,4,0.1,4,16,21
0.86,588,294,147,7,5,0.1,4,17,16
0.82,612.5,318.5,147,7,2,0.1,4,14,15
0.82,612.5,318.5,147,7,3,0.1,4,13,19
0.82,612.5,318.5,147,7,4,0.1,4,14,18
0.82,612.5,318.5,147,7,5,0.1,4,14,15
0.79,637,343,147,7,2,0.1,4,27,24
0.79,637,343,147,7,3,0.1,4,26,33
0.79,637,343,147,7,4,0.1,4,25,32
0.79,637,343,147,7,5,0.1,4,27,25
0.76,661.5,416.5,122.5,7,2,0.1,4,23,24
0.76,661.5,416.5,122.5,7,3,0.1,4,22,24
0.76,661.5,416.5,122.5,7,4,0.1,4,23,24
0.76,661.5,416.5,122.5,7,5,0.1,4,22,24
0.74,686,245,220.5,3.5,2,0.1,4,1,3
0.74,686,245,220.5,3.5,3,0.1,4,1,3
0.74,686,245,220.5,3.5,4,0.1,4,1,3
0.74,686,245,220.5,3.5,5,0.1,4,1,4
0.71,710.5,269.5,220.5,3.5,2,0.1,4,2,4
0.71,710.5,269.5,220.5,3.5,3,0.1,4,2,4
0.71,710.5,269.5,220.5,3.5,4,0.1,4,2,4
0.71,710.5,269.5,220.5,3.5,5,0.1,4,2,4
0.69,735,294,220.5,3.5,2,0.1,4,2,4
0.69,735,294,220.5,3.5,3,0.1,4,2,4
0.69,735,294,220.5,3.5,4,0.1,4,2,4
0.69,735,294,220.5,3.5,5,0.1,4,2,5
0.66,759.5,318.5,220.5,3.5,2,0.1,4,2,5
0.66,759.5,318.5,220.5,3.5,3,0.1,4,2,5
0.66,759.5,318.5,220.5,3.5,4,0.1,4,2,5
0.66,759.5,318.5,220.5,3.5,5,0.1,4,2,5
0.64,784,343,220.5,3.5,2,0.1,4,6,9
0.64,784,343,220.5,3.5,3,0.1,4,6,9
0.64,784,343,220.5,3.5,4,0.1,4,6,9
0.64,784,343,220.5,3.5,5,0.1,4,6,9
0.62,808.5,367.5,220.5,3.5,2,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,4,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,4,4,4
0.98,514.5,294,110.25,7,2,0.1,5,14,16
0.98,514.5,294,110.25,7,3,0.1,5,14,16
0.98,514.5,294,110.25,7,4,0.1,5,14,16
0.98,514.5,294,110.25,7,5,0.1,5,14,16
0.9,563.5,318.5,122.5,7,2,0.1,5,20,20
0.9,563.5,318.5,122.5,7,3,0.1,5,19,20
0.9,563.5,318.5,122.5,7,4,0.1,5,18,24
0.9,563.5,318.5,122.5,7,5,0.1,5,19,23
0.86,588,294,147,7,2,0.1,5,17,16
0.86,588,294,147,7,3,0.1,5,16,17
0.86,588,294,147,7,4,0.1,5,15,22
0.86,588,294,147,7,5,0.1,5,16,21
0.82,612.5,318.5,147,7,2,0.1,5,14,15
0.82,612.5,318.5,147,7,3,0.1,5,14,15
0.82,612.5,318.5,147,7,4,0.1,5,13,19
0.82,612.5,318.5,147,7,5,0.1,5,14,18
0.79,637,343,147,7,2,0.1,5,27,25
0.79,637,343,147,7,3,0.1,5,27,24
0.79,637,343,147,7,4,0.1,5,27,33
0.79,637,343,147,7,5,0.1,5,25,31
0.76,661.5,416.5,122.5,7,2,0.1,5,22,24
0.76,661.5,416.5,122.5,7,3,0.1,5,23,24
0.76,661.5,416.5,122.5,7,4,0.1,5,22,24
0.76,661.5,416.5,122.5,7,5,0.1,5,23,24
0.74,686,245,220.5,3.5,2,0.1,5,1,4
0.74,686,245,220.5,3.5,3,0.1,5,1,3
0.74,686,245,220.5,3.5,4,0.1,5,1,4
0.74,686,245,220.5,3.5,5,0.1,5,1,4
0.71,710.5,269.5,220.5,3.5,2,0.1,5,2,4
0.71,710.5,269.5,220.5,3.5,3,0.1,5,2,4
0.71,710.5,269.5,220.5,3.5,4,0.1,5,2,4
0.71,710.5,269.5,220.5,3.5,5,0.1,5,5,4
0.69,735,294,220.5,3.5,2,0.1,5,2,5
0.69,735,294,220.5,3.5,3,0.1,5,2,4
0.69,735,294,220.5,3.5,4,0.1,5,2,4
0.69,735,294,220.5,3.5,5,0.1,5,2,4
0.66,759.5,318.5,220.5,3.5,2,0.1,5,2,5
0.66,759.5,318.5,220.5,3.5,3,0.1,5,2,5
0.66,759.5,318.5,220.5,3.5,4,0.1,5,2,5
0.66,759.5,318.5,220.5,3.5,5,0.1,5,2,5
0.64,784,343,220.5,3.5,2,0.1,5,6,9
0.64,784,343,220.5,3.5,3,0.1,5,6,9
0.64,784,343,220.5,3.5,4,0.1,5,6,9
0.64,784,343,220.5,3.5,5,0.1,5,6,9
0.62,808.5,367.5,220.5,3.5,2,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,3,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,4,0.1,5,4,4
0.62,808.5,367.5,220.5,3.5,5,0.1,5,4,4
0.98,514.5,294,110.25,7,2,0.25,1,18,20
0.98,514.5,294,110.25,7,3,0.25,1,18,20
0.98,514.5,294,110.25,7,4,0.25,1,18,19
0.98,514.5,294,110.25,7,5,0.25,1,18,19
0.9,563.5,318.5,122.5,7,2,0.25,1,23,26
0.9,563.5,318.5,122.5,7,3,0.25,1,23,23
0.9,563.5,318.5,122.5,7,4,0.25,1,23,23
0.9,563.5,318.5,122.5,7,5,0.25,1,22,28
0.86,588,294,147,7,2,0.25,1,20,24
0.86,588,294,147,7,3,0.25,1,20,19
0.86,588,294,147,7,4,0.25,1,20,20
0.86,588,294,147,7,5,0.25,1,19,25
0.82,612.5,318.5,147,7,2,0.25,1,17,20
0.82,612.5,318.5,147,7,3,0.25,1,17,18
0.82,612.5,318.5,147,7,4,0.25,1,17,17
0.82,612.5,318.5,147,7,5,0.25,1,16,21
0.79,637,343,147,7,2,0.25,1,29,34
0.79,637,343,147,7,3,0.25,1,30,28
0.79,637,343,147,7,4,0.25,1,30,27
0.79,637,343,147,7,5,0.25,1,29,36
0.76,661.5,416.5,122.5,7,2,0.25,1,27,27
0.76,661.5,416.5,122.5,7,3,0.25,1,26,28
0.76,661.5,416.5,122.5,7,4,0.25,1,27,27
0.76,661.5,416.5,122.5,7,5,0.25,1,26,27
0.74,686,245,220.5,3.5,2,0.25,1,3,5
0.74,686,245,220.5,3.5,3,0.25,1,3,6
0.74,686,245,220.5,3.5,4,0.25,1,3,5
0.74,686,245,220.5,3.5,5,0.25,1,3,6
0.71,710.5,269.5,220.5,3.5,2,0.25,1,4,5
0.71,710.5,269.5,220.5,3.5,3,0.25,1,4,6
0.71,710.5,269.5,220.5,3.5,4,0.25,1,4,5
0.71,710.5,269.5,220.5,3.5,5,0.25,1,4,6
0.69,735,294,220.5,3.5,2,0.25,1,4,5
0.69,735,294,220.5,3.5,3,0.25,1,4,6
0.69,735,294,220.5,3.5,4,0.25,1,4,5
0.69,735,294,220.5,3.5,5,0.25,1,4,6
0.66,759.5,318.5,220.5,3.5,2,0.25,1,4,6
0.66,759.5,318.5,220.5,3.5,3,0.25,1,4,6
0.66,759.5,318.5,220.5,3.5,4,0.25,1,4,6
0.66,759.5,318.5,220.5,3.5,5,0.25,1,4,6
0.64,784,343,220.5,3.5,2,0.25,1,9,11
0.64,784,343,220.5,3.5,3,0.25,1,8,11
0.64,784,343,220.5,3.5,4,0.25,1,9,11
0.64,784,343,220.5,3.5,5,0.25,1,8,11
0.62,808.5,367.5,220.5,3.5,2,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,3,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,1,6,6
0.62,808.5,367.5,220.5,3.5,5,0.25,1,6,6
0.98,514.5,294,110.25,7,2,0.25,2,19,20
0.98,514.5,294,110.25,7,3,0.25,2,19,20
0.98,514.5,294,110.25,7,4,0.25,2,18,20
0.98,514.5,294,110.25,7,5,0.25,2,19,20
0.9,563.5,318.5,122.5,7,2,0.25,2,22,26
0.9,563.5,318.5,122.5,7,3,0.25,2,23,23
0.9,563.5,318.5,122.5,7,4,0.25,2,22,23
0.9,563.5,318.5,122.5,7,5,0.25,2,22,28
0.86,588,294,147,7,2,0.25,2,19,23
0.86,588,294,147,7,3,0.25,2,20,18
0.86,588,294,147,7,4,0.25,2,19,20
0.86,588,294,147,7,5,0.25,2,18,25
0.82,612.5,318.5,147,7,2,0.25,2,16,18
0.82,612.5,318.5,147,7,3,0.25,2,16,17
0.82,612.5,318.5,147,7,4,0.25,2,15,17
0.82,612.5,318.5,147,7,5,0.25,2,15,20
0.79,637,343,147,7,2,0.25,2,29,34
0.79,637,343,147,7,3,0.25,2,30,27
0.79,637,343,147,7,4,0.25,2,30,27
0.79,637,343,147,7,5,0.25,2,29,36
0.76,661.5,416.5,122.5,7,2,0.25,2,27,27
0.76,661.5,416.5,122.5,7,3,0.25,2,26,27
0.76,661.5,416.5,122.5,7,4,0.25,2,27,27
0.76,661.5,416.5,122.5,7,5,0.25,2,26,27
0.74,686,245,220.5,3.5,2,0.25,2,3,5
0.74,686,245,220.5,3.5,3,0.25,2,3,5
0.74,686,245,220.5,3.5,4,0.25,2,3,5
0.74,686,245,220.5,3.5,5,0.25,2,3,5
0.71,710.5,269.5,220.5,3.5,2,0.25,2,3,5
0.71,710.5,269.5,220.5,3.5,3,0.25,2,3,5
0.71,710.5,269.5,220.5,3.5,4,0.25,2,3,5
0.71,710.5,269.5,220.5,3.5,5,0.25,2,3,5
0.69,735,294,220.5,3.5,2,0.25,2,4,6
0.69,735,294,220.5,3.5,3,0.25,2,4,6
0.69,735,294,220.5,3.5,4,0.25,2,4,6
0.69,735,294,220.5,3.5,5,0.25,2,4,6
0.66,759.5,318.5,220.5,3.5,2,0.25,2,4,6
0.66,759.5,318.5,220.5,3.5,3,0.25,2,4,6
0.66,759.5,318.5,220.5,3.5,4,0.25,2,4,6
0.66,759.5,318.5,220.5,3.5,5,0.25,2,4,6
0.64,784,343,220.5,3.5,2,0.25,2,8,10
0.64,784,343,220.5,3.5,3,0.25,2,8,11
0.64,784,343,220.5,3.5,4,0.25,2,8,10
0.64,784,343,220.5,3.5,5,0.25,2,8,10
0.62,808.5,367.5,220.5,3.5,2,0.25,2,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,2,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,2,6,5
0.62,808.5,367.5,220.5,3.5,5,0.25,2,6,5
0.98,514.5,294,110.25,7,2,0.25,3,19,19
0.98,514.5,294,110.25,7,3,0.25,3,19,20
0.98,514.5,294,110.25,7,4,0.25,3,18,20
0.98,514.5,294,110.25,7,5,0.25,3,19,20
0.9,563.5,318.5,122.5,7,2,0.25,3,22,26
0.9,563.5,318.5,122.5,7,3,0.25,3,22,25
0.9,563.5,318.5,122.5,7,4,0.25,3,23,23
0.9,563.5,318.5,122.5,7,5,0.25,3,22,22
0.86,588,294,147,7,2,0.25,3,18,24
0.86,588,294,147,7,3,0.25,3,19,23
0.86,588,294,147,7,4,0.25,3,19,18
0.86,588,294,147,7,5,0.25,3,19,20
0.82,612.5,318.5,147,7,2,0.25,3,15,19
0.82,612.5,318.5,147,7,3,0.25,3,15,18
0.82,612.5,318.5,147,7,4,0.25,3,15,17
0.82,612.5,318.5,147,7,5,0.25,3,15,16
0.79,637,343,147,7,2,0.25,3,29,35
0.79,637,343,147,7,3,0.25,3,28,34
0.79,637,343,147,7,4,0.25,3,30,28
0.79,637,343,147,7,5,0.25,3,30,27
0.76,661.5,416.5,122.5,7,2,0.25,3,26,26
0.76,661.5,416.5,122.5,7,3,0.25,3,27,26
0.76,661.5,416.5,122.5,7,4,0.25,3,26,27
0.76,661.5,416.5,122.5,7,5,0.25,3,27,27
0.74,686,245,220.5,3.5,2,0.25,3,3,4
0.74,686,245,220.5,3.5,3,0.25,3,3,4
0.74,686,245,220.5,3.5,4,0.25,3,3,5
0.74,686,245,220.5,3.5,5,0.25,3,3,5
0.71,710.5,269.5,220.5,3.5,2,0.25,3,3,5
0.71,710.5,269.5,220.5,3.5,3,0.25,3,3,5
0.71,710.5,269.5,220.5,3.5,4,0.25,3,3,6
0.71,710.5,269.5,220.5,3.5,5,0.25,3,3,5
0.69,735,294,220.5,3.5,2,0.25,3,3,5
0.69,735,294,220.5,3.5,3,0.25,3,3,4
0.69,735,294,220.5,3.5,4,0.25,3,3,5
0.69,735,294,220.5,3.5,5,0.25,3,3,5
0.66,759.5,318.5,220.5,3.5,2,0.25,3,4,6
0.66,759.5,318.5,220.5,3.5,3,0.25,3,4,6
0.66,759.5,318.5,220.5,3.5,4,0.25,3,4,6
0.66,759.5,318.5,220.5,3.5,5,0.25,3,4,6
0.64,784,343,220.5,3.5,2,0.25,3,8,10
0.64,784,343,220.5,3.5,3,0.25,3,8,10
0.64,784,343,220.5,3.5,4,0.25,3,8,10
0.64,784,343,220.5,3.5,5,0.25,3,8,10
0.62,808.5,367.5,220.5,3.5,2,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,4,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,5,0.25,3,5,4
0.98,514.5,294,110.25,7,2,0.25,4,19,20
0.98,514.5,294,110.25,7,3,0.25,4,19,20
0.98,514.5,294,110.25,7,4,0.25,4,18,20
0.98,514.5,294,110.25,7,5,0.25,4,19,20
0.9,563.5,318.5,122.5,7,2,0.25,4,23,22
0.9,563.5,318.5,122.5,7,3,0.25,4,22,27
0.9,563.5,318.5,122.5,7,4,0.25,4,22,26
0.9,563.5,318.5,122.5,7,5,0.25,4,23,23
0.86,588,294,147,7,2,0.25,4,19,19
0.86,588,294,147,7,3,0.25,4,18,24
0.86,588,294,147,7,4,0.25,4,19,24
0.86,588,294,147,7,5,0.25,4,20,18
0.82,612.5,318.5,147,7,2,0.25,4,16,16
0.82,612.5,318.5,147,7,3,0.25,4,15,19
0.82,612.5,318.5,147,7,4,0.25,4,15,19
0.82,612.5,318.5,147,7,5,0.25,4,16,17
0.79,637,343,147,7,2,0.25,4,30,26
0.79,637,343,147,7,3,0.25,4,29,35
0.79,637,343,147,7,4,0.25,4,28,34
0.79,637,343,147,7,5,0.25,4,30,27
0.76,661.5,416.5,122.5,7,2,0.25,4,27,27
0.76,661.5,416.5,122.5,7,3,0.25,4,26,27
0.76,661.5,416.5,122.5,7,4,0.25,4,27,27
0.76,661.5,416.5,122.5,7,5,0.25,4,26,28
0.74,686,245,220.5,3.5,2,0.25,4,3,5
0.74,686,245,220.5,3.5,3,0.25,4,3,5
0.74,686,245,220.5,3.5,4,0.25,4,3,5
0.74,686,245,220.5,3.5,5,0.25,4,3,5
0.71,710.5,269.5,220.5,3.5,2,0.25,4,3,5
0.71,710.5,269.5,220.5,3.5,3,0.25,4,3,5
0.71,710.5,269.5,220.5,3.5,4,0.25,4,3,5
0.71,710.5,269.5,220.5,3.5,5,0.25,4,3,6
0.69,735,294,220.5,3.5,2,0.25,4,4,5
0.69,735,294,220.5,3.5,3,0.25,4,4,6
0.69,735,294,220.5,3.5,4,0.25,4,4,6
0.69,735,294,220.5,3.5,5,0.25,4,4,6
0.66,759.5,318.5,220.5,3.5,2,0.25,4,4,6
0.66,759.5,318.5,220.5,3.5,3,0.25,4,4,6
0.66,759.5,318.5,220.5,3.5,4,0.25,4,4,6
0.66,759.5,318.5,220.5,3.5,5,0.25,4,4,6
0.64,784,343,220.5,3.5,2,0.25,4,8,10
0.64,784,343,220.5,3.5,3,0.25,4,8,10
0.64,784,343,220.5,3.5,4,0.25,4,8,10
0.64,784,343,220.5,3.5,5,0.25,4,8,10
0.62,808.5,367.5,220.5,3.5,2,0.25,4,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,4,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,4,6,5
0.62,808.5,367.5,220.5,3.5,5,0.25,4,6,5
0.98,514.5,294,110.25,7,2,0.25,5,19,20
0.98,514.5,294,110.25,7,3,0.25,5,19,20
0.98,514.5,294,110.25,7,4,0.25,5,18,20
0.98,514.5,294,110.25,7,5,0.25,5,19,20
0.9,563.5,318.5,122.5,7,2,0.25,5,23,22
0.9,563.5,318.5,122.5,7,3,0.25,5,22,22
0.9,563.5,318.5,122.5,7,4,0.25,5,22,27
0.9,563.5,318.5,122.5,7,5,0.25,5,22,26
0.86,588,294,147,7,2,0.25,5,20,18
